my_colors,Symbio.clade
#3DF9A3,A1fi
#AAC3EA,A1
#5CFCE0,A1ab
#E4D9F9,A1dl
#56BBC1,X1392361_A
#B884EF,X1392372_A
#C7FAFA,X32746_A
#F85AD2,X55778_A
#6FBABE,X1042_A
#F41CD6,X1362682_A
#27E3B8,X759005_A
#DFB1B4,A1dt
#D970D9,X1392373_A
#C9B7C2,X1392374_A
#9C1ABB,X1392363_A
#63C8C1,X149403_A
#F69B68,X5706_A
#7ADA9C,X1392362_A
#EC6DAD,X1392392_A
#B457EE,X1392391_A
#6BAE9D,X1392375_A
#EBF5FB,A7
#8FA2C8,X140708_A
#C7DDFC,X1392390_A
#E0DFAE,X74034_A
#369AA1,X30814_A
#2AB4A7,X1392364_A
#B9E8B2,X1392394_A
#68AD8E,A5
#DC7EB1,A1bf
#FBD5FE,X1392393_A
#AB48A8,A1bw
#7391B8,A4
#9DD04D,X1392395_A
#E4A8A8,X1392399_A
#9FE9FA,A4.3
#394EC7,X1392400_A
#6BF89B,X6984_A
#CC65F0,X1392396_A
#CABBA1,X1892_A
#CFC5B4,X7747_A
#F75DE4,X7695_A
#EAFCF8,X1392377_A
#99B3DA,X1392376_A
#2EE87C,A1bx
#90ADCB,X7581_A
#D03FF7,A3
#E58FD8,A1eb
#1FF22E,A1fh
#F3B3E0,A1er
#BC8589,A4a
#F8E2B8,X73683_A
#A9D392,X759668_A
#F3E2FA,B1
#E7E691,B5aj
#AF5D45,X1390196_B
#F983DA,X29481_B
#75F07A,C1
#5CA1AC,C42.2
#EFF070,C1b
#A9F0D4,C3.1
#CDBF31,C1d.1
#F4F3E0,C1au
#AEDF14,C42a
#307C9D,C42g.1
#CECADA,C1j
#C2648D,C3cg
#B0F3E1,C1az
#A16D8F,C45c
#AF17E5,C115k
#D74E9C,C115n
#53C5A1,C42h
#F4BAC7,C41p
#B1F8F1,X196_C
#6276D9,C42az
#E2E2F4,C45.3
#7F69C6,C42ao
#268FF4,X7_C
#B7AFF9,C3cw
#8FF9D8,C116
#F1FDCE,C115d
#5BF3E9,C3eq
#CB7D0C,X93_C
#E3C6C5,X21709_C
#3AD57F,X213_C
#517DB4,X139_C
#E1F999,X566_C
#D6A1E3,C115l
#EB70C0,X114_C
#EB9B93,C42b
#C6C8AA,X526576_C
#B6ED46,X348_C
#DEE7D7,C15
#5A71FC,C42l
#E7B0CB,X99_C
#F43DBF,C42ap
#7146F0,X344_C
#FCF98B,C3.12
#A42DD7,X227_C
#ED9DB2,C1at
#5BB6F0,C42ay
#F290F0,C1ag
#5FA9D6,C1h
#74C166,C1c
#7DEBF5,C1k
#6365E3,C1ci
#77C8F3,X187_C
#3D6479,C42j
#DB8FE2,X1936_C
#47B3F8,C1m
#F6E3A9,X1392356_C
#93CBEE,X307_C
#AC93E7,X312_C
#CEF06E,C1ah
#B0EEBF,X98_C
#408257,X33741_C
#9D79BC,X278_C
#D7D8C7,X201_C
#7F6539,C3dc
#8AF0D2,X317_C
#BB72FC,X356_C
#E411C3,X285_C
#F2765E,X287_C
#A4DEB8,X224_C
#7BE5D1,C116i
#C6A0F0,X761_C
#E0F8B3,X657_C
#309A7C,C15i
#3365E9,X33112_C
#99E0E1,X381_C
#E8BF38,X197_C
#F5C22F,X656_C
#CA926A,X268_C
#C8E9F6,C116l
#E9947E,X695_C
#F985C7,X192_C
#81F6D0,X11_C
#A3D0D0,X26971_C
#F5CE26,X92729_C
#CDF59D,C42k
#E1D6DD,X8128_C
#FAF2B1,X33398_C
#8BFCE5,X349_C
#F6E75F,X33135_C
#4CEE24,X359_C
#A3B9AA,X985_C
#D2BC62,C116q
#E7DA98,X8_C
#E0B15C,X2790_C
#8D8B71,X33434_C
#83D8DE,X91390_C
#C2D6B9,X324_C
#E2B285,X1392365_C
#A74062,X360_C
#749CF3,X110_C
#B66F69,X234_C
#7579A9,X91056_C
#BCD78B,X351_C
#FEBE4C,X1112172_C
#F8A5DB,X47161_C
#E4E9EC,X200_C
#D540D3,C93b
#DCD8B7,X230_C
#949D3C,X279_C
#F4AD8D,X138_C
#B9D071,X128_C
#9DBA8B,X376_C
#BDF8B5,X21844_C
#13BC97,X101_C
#D48843,C1bi
#6C6881,X21885_C
#B6D0C8,X27542_C
#46C1CE,C15eo
#AA8235,X119_C
#D085C2,X751_C
#A0E1A8,X13928_C
#BCDD77,X2694_C
#CF9540,X205_C
#BA1C89,C1bp
#DBFB77,X391641_C
#CEE8C3,X366_C
#DDA1F2,X102_C
#D7E1C6,X202_C
#C2DF85,X132_C
#86AFA2,X1208585_C
#6814C0,X203_C
#D4F88C,X375_C
#FBE5CA,X21719_C
#C08197,X355_C
#41FB15,X323_C
#1BFCC2,X235_C
#EDB99A,X653_C
#F0758A,C44
#F7A961,X16816_C
#99EDF8,X22186_C
#75F2D8,X17_C
#5D78C1,X512_C
#CAD4EA,X1392370_C
#7EAFD9,X198_C
#E3D4EA,X5429_C
#84F126,X62530_C
#98F772,X33346_C
#F0AAC4,C42i
#A9FDAF,C3cx
#97ACBC,X316_C
#43DC5B,X87_C
#FEC25D,X1392402_C
#D6CCA5,X33522_C
#6DF4F6,X269_C
#D8D2CF,X70133_C
#8A7670,X639_C
#AAEA69,X6124_C
#36F0DD,X284_C
#ABF9CC,X315_C
#FCEA97,X33657_C
#3990EA,X193_C
#8DEBB1,X273_C
#788F9F,X572_C
#79E4E1,X1392403_C
#486713,X92006_C
#34D6D5,X6125_C
#2B7362,X94456_C
#F849B6,X33327_C
#34CC89,X91839_C
#A87972,X7844_C
#B19DAD,X32893_C
#FA58FC,X33249_C
#3C7AD5,X7305_C
#B47EC5,X33703_C
#B6F17E,X3246_C
#ACB390,X2193_C
#9A94FC,X377_C
#7E5553,X33738_C
#E5268C,X90988_C
#C6F564,X204_C
#EF76EE,X662_C
#F45FF6,X33388_C
#9A31C0,X90755_C
#844EE0,X62136_C
#63EDFB,X228_C
#6A8F73,X1392369_C
#32EFCE,C1dj
#933ED1,X280_C
#EDF496,X33322_C
#AC8DC8,X47215_C
#D4CAFB,X6145_C
#B78266,X1392398_C
#AAD9FB,X33134_C
#86CCD0,X567_C
#F4E4E2,X33339_C
#95D3AB,X327_C
#8A6AF4,X95383_C
#8BA078,X792_C
#D152BB,X121_C
#E5C4E0,X43307_C
#AABFD7,X33646_C
#6B86DF,X206_C
#C186C4,X13271_C
#D5D87A,X126_C
#D86E4C,X374_C
#A082FB,X372_C
#B3CB5B,X1392397_C
#E1B8F3,X68465_C
#AF2244,X346_C
#F8CFD6,X309_C
#B4CEFE,X2092_C
#E669FB,X649_C
#DA79BC,X68551_C
#7D46B2,X33338_C
#4544A8,X33809_C
#F6E2D3,X90904_C
#D88DA5,X10117_C
#B3B4B4,X380_C
#6AE2C8,X22_C
#8064D7,X911543_C
#C9AB8F,X286_C
#5AAA35,X694_C
#BADEE9,X191_C
#4B2DE0,C15ev
#9391A0,X33062_C
#D4DB95,X222_C
#CD7D6F,X1274976_C
#E3ED99,X281_C
#B766A8,X516_C
#86CFDC,X32968_C
#F01572,X33400_C
#E5E17D,X68427_C
#D9E6F5,X28316_C
#EEF869,X2504_C
#8EB69D,C42p
#2FD7F1,X582058_C
#F0EDF8,X511_C
#A389D2,X33319_C
#A213F6,X357_C
#4DC7B2,X89_C
#A2B4F9,X21705_C
#E1FA6E,X199_C
#A96B7F,C42al
#DE39A9,X23144_C
#35265A,X92079_C
#FC8389,X22172_C
#96E457,X271_C
#E4C9D4,X3390_C
#96794A,X33743_C
#B8B0F2,X17505_C
#CE1CD8,X28311_C
#FC938C,X911420_C
#C8A63A,X19815_C
#E1309B,X92047_C
#95D8C1,X43278_C
#9D5FA0,X12844_C
#D8EBA5,X350_C
#4C4BEC,X2842_C
#A29ABC,X196116_C
#6C88F6,X33201_C
#F8C94C,X386_C
#C2BBE8,X502415_C
#8D8BD4,X341_C
#D4B2D4,X28135_C
#DEF288,X864_C
#E0C3F6,X483605_C
#615889,C15dt
#E3F43B,X1211613_C
#D83C41,X276_C
#9838ED,X282_C
#49C6F8,X644346_C
#38F97A,X233_C
#8174DF,X90818_C
#E5FC35,X1392359_C
#FAF8F7,X24219_C
#EEB06E,X457635_C
#33E8F2,C1ca
#FDDD97,X1392367_C
#CEE38E,X52534_C
#6EF70F,X90970_C
#FBD4C3,X91080_C
#959AE7,X92_C
#D3E4E5,X270629_C
#D420FB,X23143_C
#E7A2CB,X15358_C
#E805BA,X651_C
#FAC098,X21721_C
#B351FC,X124_C
#4E88ED,X2255_C
#A8D4ED,X33770_C
#E1FDED,X33386_C
#E2B29D,X33736_C
#B8C273,X91063_C
#F8DCF8,X384_C
#60B2F4,X33291_C
#7FF0A5,C93a
#F0CA8C,X339599_C
#49E3A9,X66892_C
#B1C1AE,X14578_C
#58F754,X476678_C
#61C7E9,X90864_C
#3FCBEF,X22181_C
#5EB57E,X33435_C
#D6F7BE,X486744_C
#75D640,X91113_C
#D9D9E5,X100_C
#B5FA54,X18628_C
#A4BDF1,X33343_C
#2B84F2,X91244_C
#8B6797,X137_C
#9988EA,X911410_C
#D728D1,X23486_C
#659B9B,X33565_C
#9CF480,X52533_C
#D84BC8,X595337_C
#D0CCE5,X8872_C
#FAC5E4,X1392404_C
#F2882D,X913214_C
#C3B7B3,X11391_C
#A2B974,X21507_C
#C0D6A8,X26594_C
#D3B5C5,X5403_C
#F96125,X52535_C
#B1D3C2,X90577_C
#7DF8EF,X658403_C
#DBB9BF,X1215183_C
#89BEF9,X33740_C
#F47E4A,X33122_C
#FBC2F6,X479399_C
#9664CC,X460980_C
#F46872,X42931_C
#D19B90,X21813_C
#EBD3AE,X91428_C
#D6F2E5,X33802_C
#DEFC5E,X21_C
#E8F07A,X911416_C
#9AD76A,X208_C
#63164B,X14278_C
#E9D456,X1392357_C
#FBE5EB,X1392406_C
#9DD9E6,X10943_C
#96F355,X33663_C
#A4A6F4,X95517_C
#B0A590,X433981_C
#4C78EF,X1392378_C
#BCF72C,C15bc
#C79BD2,X271833_C
#D1DA9C,X749572_C
#92F664,X911417_C
#AA64DE,X502403_C
#ACB2D5,X91288_C
#C0E6CF,X10568_C
#B98EF2,X36147_C
#51B3AF,X33120_C
#8DFAC7,X658970_C
#F2D598,X8117_C
#5FC98D,X58726_C
#C4CED4,X1392401_C
#ACC3CA,X68496_C
#C09316,X33268_C
#B5F9C7,X90753_C
#F8B89F,C3a
#AAFADF,X392_C
#F2C7C8,X911409_C
#98A156,X209_C
#DEB2DD,X476707_C
#7DF74F,X91064_C
#25EA40,X532307_C
#D21851,X27636_C
#65D47E,X33072_C
#C4D359,X771_C
#BFB235,C1am
#A2F8D7,X6157_C
#E6EFD6,X435_C
#E1D378,X86_C
#F1A2F0,X26674_C
#E7EC1E,X11683_C
#84FCBE,X36151_C
#EAE1C9,X33309_C
#E2F3D7,X91074_C
#395AEB,X212679_C
#C6D06E,X14791_C
#9E9025,X911419_C
#17BCBD,X483586_C
#FCA89A,X49033_C
#F561C6,C42m
#7EC1DC,X278299_C
#7A5CE8,X1318267_C
#B5D4EB,X770_C
#54D2CD,X220_C
#88DAF9,X91180_C
#DAD398,X8371_C
#DCAE11,C1w
#91BB5D,C1r
#73E2F4,X95042_C
#E9CEBF,X751238_C
#B991D4,X270_C
#5F9DD5,X43704_C
#B13CC6,X95278_C
#B8BBF6,X962718_C
#FEDBBD,X90_C
#34C129,X911421_C
#95E4B8,X33733_C
#DF5721,X21714_C
#B1E78A,X911424_C
#E3A263,X502494_C
#672B8B,X28244_C
#9F8C44,X557_C
#EEECB3,X26682_C
#A3A3D2,X91806_C
#A6494C,C42ax
#D6FEA9,C3.2
#98EB89,X553_C
#D27181,X92781_C
#E3E753,X1211131_C
#7FDD74,X13421_C
#43FBCE,C42o
#5F6A5A,X95088_C
#F6C772,X47223_C
#852BF6,X91240_C
#61C2D4,X90862_C
#D8FEA5,C1by
#B582F9,X336707_C
#8E958B,X10283_C
#82B780,X404696_C
#44D8CD,X33070_C
#DDBEA9,X33121_C
#FB1BAF,X90622_C
#F94CE6,X40148_C
#F0EED0,X21931_C
#BB56E3,X2864_C
#8F87F3,X52541_C
#9F7CE4,X62554_C
#BBF8A8,X12576_C
#D954E8,X1271393_C
#76BA77,X466820_C
#ECD530,X13806_C
#5FE57B,X26871_C
#F5C0BA,X33433_C
#9F9BD8,X93211_C
#BDBD61,X13671_C
#61D2E2,C3am
#BB4F8A,X90534_C
#78DEBE,C1ao
#69E0A9,X90897_C
#8459EF,X33401_C
#F42CF2,X1392371_C
#C2ADF9,X33608_C
#F4B2EE,X758_C
#CC86B7,X1392405_C
#F1D886,X90861_C
#7ACA9A,X96427_C
#42AEC8,X93045_C
#45E450,X194_C
#6493D8,X5355_C
#F92988,X816_C
#422F35,X497295_C
#EA9099,X519504_C
#8FED36,X1355_C
#C357C8,X1392366_C
#E3BD4F,C116e
#CAD5D0,X911437_C
#FBCADE,X396_C
#CEFE44,X207190_C
#C3D52E,X33803_C
#F2F07F,X90560_C
#B2FB96,X91274_C
#DE7DD7,X26679_C
#B994C2,C3dx
#85F493,X456567_C
#A0E8C7,X911422_C
#B24A17,X500632_C
#CF5C78,X21747_C
#D57AF0,X32888_C
#BFE797,X911515_C
#B88BA2,X91296_C
#B32E6D,X26204_C
#B7BE33,X92652_C
#B9AE72,X71616_C
#EFF856,X90618_C
#D08BF6,X90652_C
#C8F4CB,X33348_C
#6DDC57,X90849_C
#BFF7DA,X21547_C
#66F2CA,X765_C
#335E91,X1392358_C
#E7BAD8,X97_C
#8370BC,X911476_C
#82ABF2,X114220_C
#9AD640,X911438_C
#37B563,X90629_C
#8896F0,X911540_C
#C0A9DC,X545310_C
#F88BA0,X1392368_C
#AF9577,X842_C
#F38BB6,X91087_C
#8CB5C3,X21804_C
#7D0D93,X33399_C
#B6D787,X465500_C
#D0BDDF,X911468_C
#9BC2DE,X911547_C
#8FEDF1,X519527_C
#F7F8AB,X22296_C
#73D7EC,X61826_C
#CDB98C,C1an
#60F971,X1392360_C
#C4959E,X61822_C
#E977A9,C3cm
#31CCD9,X90811_C
#A761F7,X33385_C
#20BBD6,X23115_C
#F4FBEF,X27927_C
#62FE47,C3cl
#C2EEE8,X7532_C
#D8C855,C1x
#F4B765,D1.1
#DF8961,D6
#72EE9D,D4
#8FEEE0,D1ch.1
#D2ACF5,D2.2
#F2D670,D2f
#6461CF,X763946_D
#F3DA69,X1760_D
#5F60B2,D1h
#876F25,D2c
#F0C7AD,X14166_D
#F38FCD,D1bj
#B9ABCC,X439757_D
#BC78CE,X132119_D
#C0A9EA,X10082_D
#E296D3,X16303_D
#759089,X1392379_D
#E8DAA9,X447436_D
#EE8870,X446428_D
#DAF91B,D4c
#229BBB,X440001_D
#F86EF7,D1n
#F7F7D0,X61933_D
#A0CEB4,X25432_D
#56944B,X1392380_D
#E2DC63,X1392381_D
#5ADFE5,D17d
#D8E8E1,X1392382_D
#E45E8F,X1392384_D
#E9A629,X1392383_D
#F24C97,X15842_D
#3D8CB3,D17e
#DCBA6C,X1392385_D
#C5DA3A,X1392386_D
#C744E7,X1392387_D
#EB98BE,X10614_D
#A8AEE7,D17c
#44DDC7,X9233_D
#A96127,X1392388_D
#F0C5F2,D17j
#F5A979,D1r
#F9B0B8,D17l
#65E12F,X12538_D
#B9C8E6,X10616_D
#67B8D2,D17k
#8FD5CF,X260537_D
#984F5B,X10612_D
#C6D1F8,X1392389_D
#C5435A,X946_D
#5EB972,X7280_D
#A9F1A5,X19420_D
#F3CBA2,X179669_D